objectid,number,name,address,latitude,longitude,status,bike_stands,available_bike_stands,available_bikes,bonus,banking,last_update,CreationDate,Creator,EditDate,Editor,x,y
138,21203,21203 - BRIAND (MONTROUGE),PLACE JULES FERRY / AVENUE ARISTIDE BRIAND - 92120 MONTROUGE,48.81251091,2.32568062,OPEN,28,27,1,0,1,5/16/2013 6:57:08 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.32568062304455,48.8125109081987
139,22014,22014 - HUGO (NEUILLY),35 BOULEVARD VICTOR HUGO - 92200 NEUILLY,48.88780107,2.27807242,OPEN,25,10,15,0,1,5/16/2013 7:00:18 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.27807242436823,48.8878010685929
140,19018,19018 - CITÉ DE LA MUSIQUE VERSION 2,FACE 210 AVENUE JEAN JAURES - 75019 PARIS,48.88878607,2.39268612,OPEN,60,52,8,0,1,5/16/2013 7:01:20 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.39268612206715,48.8887860708258
141,33104,33104 - JOINEAU (PRE SAINT GERVAIS),RUE ANDRE JOINEAU / PLACE ANATOLE FRANCE - 93310 LE PRE SAINT GERVAIS,48.88362023,2.40324032,OPEN,55,0,0,1,1,5/16/2013 7:02:45 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:03:41 PM,VotreNom,2.40324031836666,48.8836202338437
142,11039,11039 - JULES FERRY REPUBLIQUE,FACE 121 BOULEVARD RICHARD LENOIR - 75011 PARIS,48.86580428,2.36933707,OPEN,36,1,34,0,1,5/16/2013 7:00:22 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.36933707496692,48.8658042766864
143,17105,17105 - PALADINES,18 BOULEVARD D'AURELLE DE PALADINES - 75017 PARIS,48.88349808,2.28201559,OPEN,41,32,9,0,1,5/16/2013 7:01:37 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.28201558962578,48.8834980819484
144,14113,14113 - ARAGO 2,36 RUE DE LA SANTE - 75014 PARIS,48.83512887,2.34157863,OPEN,37,34,3,0,1,5/16/2013 7:02:54 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:03:41 PM,VotreNom,2.34157863455694,48.8351288650429
145,8056,08056 - WAGRAM,21 RUE BEAUJON - 75008 PARIS,48.87537765,2.29655534,OPEN,11,11,0,0,1,5/16/2013 7:00:51 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.29655534247626,48.875377647487
146,21104,21104 - SANZILLON (CLICHY),64 RUE DE MADAME DE SANZILLON - 92110 CLICHY,48.9036767,2.31917666,OPEN,22,20,2,0,1,5/16/2013 6:56:46 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.31917665758015,48.9036767022563
147,15014,15014 - VOLONTAIRES,25 RUE DES VOLONTAIRES - 75015 PARIS,48.8413205,2.30808902,OPEN,34,24,10,0,1,5/16/2013 7:00:36 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.30808901725358,48.84132050184
